Sample	Round	Delta_Ct
lm_24	One	0.462099516
lm_24	One	0.29002551
lm_24	One	0.777369393
lm_24	One	0.822429209
lm_24	One	0.900665378
lm_60	One	0.625116984
lm_60	One	0.688910384
lm_60	One	1.228986723
lm_60	One	0.221598563
lm_26	One	1.646607746
lm_26	One	2.083364583
lm_26	One	0.337132165
lm_26	One	0.650026209
lm_26	One	1.050942051
lm_48	One	2.76295211
lm_48	One	0.960482229
lm_48	One	0.752575296
lm_48	One	1.213649156
lm_48	One	4.526881471
lm_52	One	0.926735419
lm_52	One	0.834750679
lm_52	One	1.03129676
lm_52	One	2.130549861
lm_52	One	1.117482905
lm_2	One	1.311660912
lm_2	One	1.138950645
lm_2	One	1.541761514
lm_2	One	1.467289177
lm_2	One	2.224250921
lm_112	One	0.830687208
lm_112	One	0.773490138
lm_112	One	0.430393678
lm_112	One	0.477910937
lm_112	One	0.60581136
lm_144	One	0.810110732
lm_144	One	0.67325866
lm_144	One	0.787808757
lm_144	One	3.107246122
lm_144	One	0.944363938
PRHC	One	1.736180265
PRHC	One	0.388964856
PRHC	One	1.039886621
PRHC	One	0.478175117
PRHC	One	0.275013508
Gulf	One	2.093301148
Gulf	One	0.814210246
Gulf	One	0.697161064
Gulf	One	0.749613176
Gulf	One	1.122693968
lm_105	One	0.540635916
lm_105	One	0.941166912
lm_105	One	0.879707086
lm_105	One	0.574201886
lm_105	One	1.054511969
lm_24	Two	0.752384884
lm_24	Two	1.581711031
lm_24	Two	4.012490324
lm_24	Two	3.581072048
lm_24	Two	2.200965139
lm_60	Two	0.557503736
lm_60	Two	1.072613199
lm_60	Two	0.263295559
lm_60	Two	0.116878411
lm_26	Two	2.020245422
lm_26	Two	1.528780582
lm_26	Two	0.331645814
lm_26	Two	0.620581921
lm_26	Two	1.42556529
lm_48	Two	2.571782356
lm_48	Two	0.79496163
lm_48	Two	0.717228331
lm_48	Two	0.851892855
lm_48	Two	2.662513374
lm_52	Two	1.440698162
lm_52	Two	1.151297596
lm_52	Two	1.254015895
lm_52	Two	1.557087091
lm_52	Two	1.058965317
lm_2	Two	1.338596771
lm_2	Two	1.794889882
lm_2	Two	1.620646926
lm_2	Two	2.229009813
lm_2	Two	5.699118342
lm_112	Two	1.077290244
lm_112	Two	0.771688966
lm_112	Two	0.919243797
lm_112	Two	0.567264327
lm_112	Two	0.539712236
lm_144	Two	2.909131992
lm_144	Two	0.748037685
lm_144	Two	1.180009541
lm_144	Two	1.923459008
lm_144	Two	1.399068824
PRHC	Two	2.649654149
PRHC	Two	1.320359494
PRHC	Two	0.445070573
PRHC	Two	0.98578422
PRHC	Two	0.861694383
Gulf	Two	1.910614394
Gulf	Two	1.248868756
Gulf	Two	0.475324664
Gulf	Two	0.688088975
Gulf	Two	1.281371927
lm_105	Two	0.71320306
lm_105	Two	0.713973831
lm_105	Two	1.446677994
lm_105	Two	0.689910794
lm_105	Two	0.90937057
