Population	Sample	delta_ct	Round 	R_status
lm_105	105A	0.08103515	1	S
lm_105	105A	0.188350823	1	S
lm_105	105A	0.125974733	1	S
lm_105	105B	0.162107802	1	S
lm_105	105B	0.784345699	1	S
lm_105	105B	0.190424234	1	S
lm_105	105C	1.704261362	1	S
lm_105	105C	1.503566919	1	S
lm_105	105C	1.407836125	1	S
lm_105	105D	0.038686359	2	S
lm_105	105D	0.050001611	2	S
lm_105	105D	0.09163016	2	S
lm_105	105E	0.0841849	2	S
lm_105	105E	0.56783769	2	S
lm_105	105E	0.136251006	2	S
lm_112	112A	0.851624	1	R
lm_112	112A	0.837548	1	R
lm_112	112A	0.813529	1	R
lm_112	112B	0.924837	1	R
lm_112	112B	0.947588	1	R
lm_112	112B	0.934391	1	R
lm_112	112C	0.817544	1	R
lm_112	112C	0.826679	1	R
lm_112	112C	0.812977	1	R
lm_112	112D	1.197349	2	R
lm_112	112D	1.096637	2	R
lm_112	112D	1.109722	2	R
lm_112	112E	0.891775	2	R
lm_112	112E	0.915373	2	R
lm_112	112E	0.91765	2	R
lm_144	144A	1.1606401	1	R
lm_144	144A	0.97309593	1	R
lm_144	144A	0.862754664	1	R
lm_144	144B	1.01712615	1	R
lm_144	144B	1.013781974	1	R
lm_144	144B	1.484665228	1	R
lm_144	144C	0.094241049	1	R
lm_144	144C	0.259450348	1	R
lm_144	144C	0.194772607	1	R
lm_144	144D	1.175160155	2	R
lm_144	144D	0.485465933	2	R
lm_144	144D	1.185217765	2	R
lm_144	144E	3.12889535	2	R
lm_144	144E	0.118782966	2	R
lm_144	144E	0.066058238	2	R
lm_24	24A	0.395411099	1	R
lm_24	24A	0.204535227	1	R
lm_24	24A	0.095937275	1	R
lm_24	24B	0.052374942	1	R
lm_24	24B	0.048664127	1	R
lm_24	24B	0.067138474	1	R
lm_24	24C	4.607371368	1	R
lm_24	24C	3.068531992	1	R
lm_24	24C	3.580532983	1	R
lm_24	24D	0.625769173	2	R
lm_24	24D	0.004795361	2	R
lm_24	24D	0.182897013	2	R
lm_24	24E	4.18509004	2	R
lm_24	24E	0.093836617	2	R
lm_24	24E	3.594358421	2	R
lm_26	26A	0.960516176	1	R
lm_26	26A	0.374394408	1	R
lm_26	26A	0.30522589	1	R
lm_26	26B	1.211327588	1	R
lm_26	26B	0.20981326	1	R
lm_26	26B	0.320920387	1	R
lm_26	26C	1.938895654	1	R
lm_26	26C	0.857361606	1	R
lm_26	26C	1.153546615	1	R
lm_26	26D	0.881313232	2	R
lm_26	26D	0.985524	2	R
lm_26	26D	1.172433564	2	R
lm_26	26E	3.155356946	2	R
lm_26	26E	0.817122635	2	R
lm_26	26E	1.474717681	2	R
lm_2	2A	3.91394844	1	R
lm_2	2A	0.470237504	1	R
lm_2	2A	2.78675996	1	R
lm_2	2B	0.31943757	1	R
lm_2	2B	0.804838949	1	R
lm_2	2B	0.187511283	1	R
lm_2	2C	0.909343076	1	R
lm_2	2C	0.372341449	1	R
lm_2	2C	0.377189032	1	R
lm_2	2D	0.836588799	2	R
lm_2	2D	1.760183651	2	R
lm_2	2D	0.356194018	2	R
lm_2	2E	0.775375809	2	R
lm_2	2E	0.683214964	2	R
lm_2	2E	0.627585	2	R
lm_48	48A	0.392707768	1	R
lm_48	48A	0.445174224	1	R
lm_48	48A	0.415934175	1	R
lm_48	48B	4.800612746	1	R
lm_48	48B	2.628639601	1	R
lm_48	48B	2.028604282	1	R
lm_48	48C	0.106441022	1	R
lm_48	48C	0.277021165	1	R
lm_48	48C	0.064851783	1	R
lm_48	48D	0.281538949	2	R
lm_48	48D	0.306171614	2	R
lm_48	48D	0.362401398	2	R
lm_48	48E	1.091857066	2	R
lm_48	48E	0.113027859	2	R
lm_48	48E	0.049431419	2	R
lm_52	52A	3.114417654	1	R
lm_52	52A	0.992307947	1	R
lm_52	52A	2.710930441	1	R
lm_52	52B	0.613740507	1	R
lm_52	52B	0.273403087	1	R
lm_52	52B	0.280190675	1	R
lm_52	52C	0.876546679	1	R
lm_52	52C	0.565524183	1	R
lm_52	52C	0.47007465	1	R
lm_52	52E	1.588822481	2	R
lm_52	52E	0.594005105	2	R
lm_52	52E	0.912841029	2	R
lm_60	60A	0.248821295	1	R
lm_60	60A	0.589226918	1	R
lm_60	60A	0.646801011	1	R
lm_60	60B	0.281269222	1	R
lm_60	60B	0.249406873	1	R
lm_60	60B	0.222478256	1	R
lm_60	60C	0.989040499	1	R
lm_60	60C	0.98555726	1	R
lm_60	60C	0.111290319	1	R
lm_60	60D	0.567289177	2	R
lm_60	60D	0.439077746	2	R
lm_60	60D	0.520260116	2	R
lm_60	60E	0.911628489	2	R
lm_60	60E	0.855268745	2	R
lm_60	60E	0.951481787	2	R
Gulf	GA	1.257984766	1	S
Gulf	GA	0.24891375	1	S
Gulf	GA	0.589382738	1	S
Gulf	GB	1.261480562	1	S
Gulf	GB	1.208293417	1	S
Gulf	GB	1.244813877	1	S
Gulf	GC	1.138491074	1	S
Gulf	GC	0.920217935	1	S
Gulf	GC	2.725841518	1	S
Gulf	GD	0.611258567	2	S
Gulf	GD	0.422391164	2	S
Gulf	GD	0.862727289	2	S
Gulf	GE	1.625728878	2	S
Gulf	GE	1.350731808	2	S
Gulf	GE	1.27359635	2	S
